157,6/1/2016,5,/T,TRASH,,29.75,,29.75
157,6/1/2016,6,/S,SEWER,,51.58,,51.58
158,6/1/2016,4,/R,RENT,,493.00,,493.00
158,6/1/2016,5,/T,TRASH,,29.75,,29.75
158,6/1/2016,6,/S,SEWER,,51.58,,51.58
159,6/1/2016,4,/R,RENT,,510.00,,510.00
159,6/1/2016,5,/T,TRASH,,29.75,,29.75
159,6/1/2016,6,/S,SEWER,,51.58,,51.58
16,6/1/2016,4,/R,RENT,,540.00,,540.00
16,6/1/2016,5,/T,TRASH,,29.75,,29.75
16,6/1/2016,6,/S,SEWER,,51.58,,51.58
160,6/1/2016,4,/R,RENT,,550.00,,550.00
160,6/1/2016,5,/T,TRASH,,29.75,,29.75
160,6/1/2016,6,/S,SEWER,,51.58,,51.58
161,6/1/2016,4,/R,RENT,,575.00,,575.00
161,6/1/2016,5,/T,TRASH,,29.75,,29.75
161,6/1/2016,6,/S,SEWER,,51.58,,51.58
162,6/1/2016,4,/R,RENT,,550.00,,550.00
162,6/1/2016,5,/T,TRASH,,29.75,,29.75
162,6/1/2016,6,/S,SEWER,,51.58,,51.58
163,6/1/2016,4,/R,RENT,,532.00,,532.00
163,6/1/2016,5,/T,TRASH,,29.75,,29.75
163,6/1/2016,6,/S,SEWER,,51.58,,51.58
164,6/1/2016,4,/R,RENT,,530.00,,530.00
164,6/1/2016,5,/T,TRASH,,29.75,,29.75
164,6/1/2016,6,/S,SEWER,,51.58,,51.58
165,6/1/2016,4,/R,RENT,,550.00,,550.00
165,6/1/2016,5,/T,TRASH,,29.75,,29.75
165,6/1/2016,6,/S,SEWER,,51.58,,51.58
17,6/1/2016,4,/R,RENT,,520.00,,520.00
17,6/1/2016,5,/T,TRASH,,29.75,,29.75
17,6/1/2016,6,/S,SEWER,,51.58,,51.58
18,6/1/2016,4,/R,RENT,,540.00,,540.00
18,6/1/2016,5,/T,TRASH,,29.75,,29.75
18,6/1/2016,6,/S,SEWER,,51.58,,51.58
19,6/1/2016,4,/R,RENT,,580.00,,580.00
19,6/1/2016,5,/T,TRASH,,29.75,,29.75
19,6/1/2016,6,/S,SEWER,,51.58,,51.58
2,6/1/2016,4,/R,RENT,,515.00,,515.00
2,6/1/2016,5,/T,TRASH,,29.75,,29.75
2,6/1/2016,6,/S,SEWER,,51.58,,51.58
20,6/1/2016,4,/R,RENT,,635.00,,635.00
20,6/1/2016,5,/T,TRASH,,29.75,,29.75
20,6/1/2016,6,/S,SEWER,,51.58,,51.58
21,6/1/2016,4,/R,RENT,,495.00,,495.00
21,6/1/2016,5,/T,TRASH,,29.75,,29.75
21,6/1/2016,6,/S,SEWER,,51.58,,51.58
22,6/1/2016,4,/R,RENT,,525.00,,525.00
22,6/1/2016,5,/T,TRASH,,29.75,,29.75
22,6/1/2016,6,/S,SEWER,,51.58,,51.58
23,6/1/2016,4,/R,RENT,,550.00,,550.00
23,6/1/2016,5,/T,TRASH,,29.75,,29.75
23,6/1/2016,6,/S,SEWER,,51.58,,51.58
24,6/1/2016,4,/R,RENT,,500.00,,500.00
24,6/1/2016,5,/T,TRASH,,29.75,,29.75
24,6/1/2016,6,/S,SEWER,,51.58,,51.58
26,6/1/2016,4,/R,RENT,,515.00,,515.00
26,6/1/2016,5,/T,TRASH,,29.75,,29.75
26,6/1/2016,6,/S,SEWER,,51.58,,51.58
27,6/1/2016,4,/R,RENT,,550.00,,550.00
27,6/1/2016,5,/T,TRASH,,29.75,,29.75
27,6/1/2016,6,/S,SEWER,,51.58,,51.58
28,6/1/2016,4,/R,RENT,,550.00,,550.00
28,6/1/2016,5,/T,TRASH,,29.75,,29.75
